UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
5255,H05255,H,297.3,308.3,1850,39.1,125,0,0,0,0,0,0
5256,L05256,H,301.1,311.0,1537,55.8,111,0,0,0,0,0,0
5257,H05257,M,302.0,308.9,2280,44.5,23,0,0,0,0,0,0
5258,H05258,L,301.3,308.7,2646,39.1,20,0,0,0,0,0,0
5259,L05259,L,302.1,311.4,2181,41.9,186,0,0,0,0,0,0
5260,M05260,L,299.7,310.4,2717,19.8,248,0,0,0,0,0,0
5261,L05261,M,297.5,310.7,2341,40.5,118,0,0,0,0,0,0
5262,H05262,M,302.1,309.5,2504,17.3,225,0,0,0,0,0,0
5263,H05263,M,303.7,309.9,1186,35.4,166,0,1,0,0,0,0
5264,H05264,M,299.7,311.6,2404,44.6,115,0,0,0,0,0,0
5265,L05265,L,301.4,310.3,1332,36.6,70,0,0,0,0,0,0
5266,H05266,L,298.3,312.3,1441,55.8,134,0,0,0,0,0,0
5267,H05267,L,298.2,309.8,2695,40.8,155,0,0,0,0,0,0
5268,L05268,L,300.2,311.0,1219,47.3,178,0,0,0,0,0,0
5269,M05269,L,298.5,311.1,1386,39.5,162,0,0,1,0,0,0
5270,M05270,M,300.2,310.2,1613,44.4,185,0,0,0,0,0,0
5271,H05271,M,306.1,311.4,2291,37.7,9,0,0,0,0,0,0
5272,L05272,L,298.6,309.5,1340,47.0,165,0,0,0,0,0,0
5273,H05273,L,300.7,310.9,2079,52.4,31,0,0,0,0,0,0
5274,L05274,L,296.5,309.0,2679,42.0,61,0,0,0,0,0,0
5275,L05275,M,301.0,308.7,2677,54.6,97,0,0,0,0,0,0
5276,M05276,L,298.6,310.0,1550,38.1,87,0,0,0,0,0,0
5277,M05277,L,300.6,309.9,1466,53.7,119,0,0,0,0,0,0
5278,L05278,M,300.5,308.9,1867,48.6,115,0,0,0,0,0,0
5279,H05279,L,300.3,310.8,1371,38.5,49,0,0,0,0,0,0
5280,M05280,L,298.1,311.6,1807,47.8,40,0,0,0,0,0,0
5281,H05281,M,299.4,309.7,2362,47.5,46,0,0,0,0,0,0
5282,M05282,M,300.5,311.0,1441,49.6,237,0,0,0,0,0,0
5283,M05283,M,299.5,309.4,2098,19.6,232,0,0,0,0,0,0
5284,H05284,L,302.8,309.8,1372,29.5,1,0,0,0,0,0,0
5285,M05285,L,300.1,310.0,1907,37.7,169,0,0,0,0,0,0
5286,M05286,M,298.0,310.8,1908,43.0,3,0,0,0,0,0,0
5287,H05287,L,300.9,309.9,2590,46.5,0,0,0,0,0,0,0
5288,M05288,M,295.1,308.0,2580,36.1,149,0,0,0,0,0,0
5289,M05289,M,303.9,311.2,1187,48.4,10,0,0,0,0,0,0
5290,M05290,H,296.6,310.1,2626,18.9,111,0,0,0,0,0,0
5291,H05291,L,301.8,307.7,2380,26.4,10,0,0,0,1,0,0
5292,L05292,L,301.5,311.4,2075,35.0,108,0,0,0,0,0,0
5293,H05293,L,297.7,311.5,1549,61.0,13,0,0,0,0,0,0
5294,L05294,M,301.1,308.9,2360,49.3,90,0,0,0,0,0,0
5295,M05295,L,298.6,308.6,2533,36.2,224,0,0,0,0,0,0
5296,L05296,L,299.7,311.1,2777,56.9,219,1,0,0,0,0,0
5297,H05297,L,300.9,311.1,2179,30.3,86,0,0,0,0,0,0
5298,H05298,L,299.9,310.5,2306,32.8,248,0,0,0,0,0,0
5299,M05299,L,298.0,309.6,2147,42.8,72,0,0,0,0,0,0
5300,L05300,L,300.8,309.2,2646,41.2,58,1,0,0,0,0,0
5301,M05301,M,299.6,310.6,2777,44.2,145,0,0,0,0,0,0
5302,M05302,L,299.8,309.4,1662,36.5,60,0,0,0,0,0,0
5303,H05303,L,299.9,309.4,1931,47.0,234,0,0,0,0,0,0
5304,L05304,M,297.3,310.8,1232,41.3,23,0,0,0,0,0,0
5305,L05305,M,297.8,311.0,2550,52.3,26,0,0,0,0,0,0
5306,L05306,L,298.8,311.5,1484,48.2,34,0,0,0,0,0,0
5307,L05307,L,300.8,308.2,1808,33.4,244,1,0,0,0,0,0
5308,M05308,M,298.1,309.5,1251,28.3,195,0,0,0,0,0,0
5309,M05309,L,302.4,309.7,2461,50.8,21,1,0,0,0,0,0
5310,H05310,L,300.4,310.0,1974,29.0,10,0,0,0,0,0,0
5311,M05311,L,300.7,308.7,2204,50.6,123,0,0,0,0,0,0
5312,M05312,L,299.3,310.6,2487,37.4,123,0,0,0,0,0,0
5313,H05313,L,296.8,311.9,2146,46.3,198,0,0,0,0,0,0
5314,H05314,M,301.1,308.8,1303,33.9,104,0,0,0,0,0,0
5315,H05315,M,298.6,310.2,1709,44.7,185,0,0,0,0,0,0
5316,M05316,L,297.0,311.3,2726,51.6,228,0,0,0,0,1,0
5317,M05317,L,298.3,309.8,2326,35.6,97,0,0,0,0,0,0
5318,H05318,M,299.8,309.3,2092,31.2,75,0,0,0,0,0,0
5319,H05319,L,295.2,310.2,1843,32.1,131,0,0,0,0,0,0
5320,H05320,L,299.3,310.7,1381,16.5,236,0,0,0,0,1,0
5321,M05321,M,302.0,308.7,2294,31.6,193,0,0,0,0,0,0
5322,M05322,M,300.1,311.0,2358,52.3,110,0,0,0,0,0,0
5323,L05323,L,302.4,309.8,2629,23.1,64,0,0,0,0,0,0
5324,M05324,M,299.2,309.3,1537,34.7,145,0,0,0,0,0,0
5325,M05325,L,302.3,308.5,1781,41.5,58,0,0,0,0,0,0
5326,M05326,L,297.3,309.3,2013,41.2,22,0,0,0,0,0,0
5327,H05327,L,301.2,309.4,2399,31.7,97,0,0,0,0,0,0
5328,M05328,M,299.8,308.8,2797,53.2,3,0,0,0,0,0,0
5329,H05329,M,302.7,310.5,2368,47.6,180,0,0,0,0,0,0
5330,L05330,M,299.2,310.1,1958,30.4,242,0,0,0,0,0,0
5331,L05331,L,297.9,311.0,2199,38.5,243,0,0,0,0,0,0
5332,H05332,L,301.0,310.7,2367,34.1,233,0,0,0,0,0,0
5333,H05333,L,303.3,309.4,2192,44.9,108,0,0,0,0,0,0
5334,H05334,L,300.5,309.7,2004,54.8,210,0,0,0,0,0,0
5335,M05335,L,299.9,309.3,1686,45.0,39,0,0,0,0,0,0
5336,L05336,H,297.6,308.4,1708,56.1,105,0,0,0,0,0,0
5337,H05337,M,301.9,310.4,1860,39.0,167,0,0,0,0,0,0
5338,M05338,L,299.9,310.2,2437,23.9,178,0,0,0,0,0,0
5339,L05339,L,301.4,309.4,2688,32.8,232,0,0,0,0,0,0
5340,M05340,L,300.4,310.8,2644,47.3,136,0,0,0,0,0,0
5341,L05341,M,304.1,309.7,1388,39.3,150,0,0,0,0,0,0
5342,M05342,M,298.9,311.2,1438,41.2,140,0,0,0,0,0,0
5343,L05343,M,299.0,309.8,1517,35.6,0,0,0,0,0,0,0
5344,L05344,L,302.0,308.7,1561,34.5,75,0,0,0,0,0,0
5345,M05345,L,302.1,311.5,2195,51.5,137,1,0,0,0,0,0
5346,H05346,H,302.1,310.4,1503,58.7,154,0,0,0,0,0,0
5347,L05347,H,300.0,309.1,2715,35.3,146,0,0,0,0,0,0
5348,H05348,L,300.4,309.6,2732,33.7,103,0,0,0,0,0,0
5349,M05349,L,297.3,309.2,1569,48.6,223,0,0,0,0,0,0
5350,H05350,L,299.7,311.0,2488,55.6,21,1,0,0,0,0,0
5351,H05351,M,300.6,307.9,1931,51.1,88,0,0,0,0,0,0
5352,H05352,M,300.6,310.3,1478,59.5,10,0,0,0,0,0,0
5353,H05353,M,298.5,308.3,2643,51.7,74,0,0,0,0,0,0
5354,H05354,L,297.8,308.1,2022,48.3,89,0,0,0,0,0,0
5355,L05355,L,302.1,310.4,1931,52.7,15,0,0,0,0,0,0
5356,L05356,L,301.8,308.8,2636,44.6,127,0,0,0,0,0,0
5357,L05357,H,299.5,310.7,2613,41.4,156,0,0,0,0,0,0
5358,M05358,L,302.1,311.0,2837,46.0,157,0,0,0,0,0,0
5359,H05359,M,301.9,309.6,1887,45.5,138,0,0,0,0,0,0
5360,L05360,L,296.6,310.5,2421,33.5,56,0,0,0,0,0,0
5361,M05361,H,299.8,311.5,2344,45.5,64,0,0,0,0,0,0
5362,L05362,M,302.7,309.0,1898,41.9,5,0,0,0,0,0,0
5363,L05363,L,296.8,310.9,1897,45.2,76,0,0,0,0,0,0
5364,H05364,M,297.1,309.2,2452,40.6,90,0,0,0,0,0,0
5365,M05365,L,301.3,310.0,1297,44.4,234,0,0,0,0,0,0
5366,H05366,L,302.6,309.4,1770,43.4,34,0,0,0,0,0,0
5367,H05367,L,299.4,309.4,1292,29.1,127,0,0,0,0,0,0
5368,L05368,H,299.1,309.6,2125,33.2,116,0,0,0,0,0,0
5369,H05369,H,296.6,309.4,1220,25.5,224,0,0,0,0,0,0
5370,M05370,L,299.4,309.9,1460,54.3,58,0,0,0,0,0,0
5371,H05371,M,297.1,311.2,1787,40.0,127,0,0,0,0,0,0
5372,H05372,M,299.3,308.6,1616,43.4,13,0,0,0,0,0,0
5373,H05373,M,302.6,310.4,1743,40.0,170,0,0,0,0,0,0
5374,L05374,L,297.4,308.9,1190,30.0,173,0,1,0,0,0,0
5375,M05375,L,299.5,309.0,2048,38.3,118,0,0,0,0,0,0
5376,L05376,M,301.7,308.1,1920,40.1,149,0,0,0,0,0,0
5377,L05377,L,298.4,311.1,1505,22.4,187,0,0,0,0,0,0
5378,L05378,L,300.8,309.8,2317,45.2,233,0,0,0,0,0,0
5379,L05379,M,301.6,309.1,2856,43.5,84,0,0,0,0,0,0
5380,L05380,L,300.2,310.1,1428,36.6,129,0,0,0,0,0,0
5381,M05381,H,300.2,309.7,2644,54.7,119,0,0,0,0,0,0
5382,H05382,L,297.8,311.1,1804,43.9,68,0,0,0,0,0,0
5383,L05383,H,299.2,309.0,2118,49.0,142,0,0,0,1,0,0
5384,L05384,L,300.3,309.9,2812,43.9,49,0,0,0,0,0,0
5385,M05385,L,296.2,310.9,1207,44.1,239,0,0,0,0,0,0
5386,M05386,L,295.5,308.9,1317,18.4,211,0,0,0,0,0,0
5387,H05387,M,299.7,309.5,2803,34.8,217,0,0,0,0,0,0
5388,M05388,M,300.8,308.7,2339,39.0,183,0,0,0,0,0,0
5389,H05389,L,300.2,309.1,1522,29.0,190,0,0,0,0,0,0
5390,L05390,L,296.8,308.4,1231,37.5,215,0,0,0,0,0,0
5391,L05391,M,302.2,308.9,1283,49.2,162,0,0,0,0,0,0
5392,H05392,L,300.2,308.7,1513,40.1,249,0,0,0,0,0,0
5393,M05393,M,301.9,309.3,2658,26.9,87,0,0,0,0,0,0
5394,H05394,L,298.7,311.0,2219,44.8,25,0,0,0,0,0,0
5395,M05395,M,300.5,310.3,1411,20.7,104,0,0,0,0,0,0
5396,L05396,M,301.0,311.3,1618,45.9,124,0,0,0,0,0,0
5397,M05397,H,302.0,309.6,2808,34.8,241,0,0,0,0,0,0
5398,H05398,M,301.8,309.1,2395,59.0,85,0,0,0,0,0,0
5399,H05399,L,298.4,309.9,1241,25.5,26,0,0,0,0,0,0
5400,L05400,L,299.8,309.4,1168,39.7,18,0,0,0,0,1,0
5401,M05401,M,299.0,310.4,1419,28.9,36,0,0,0,0,0,0
5402,M05402,L,300.3,308.5,1726,36.2,35,0,0,0,0,0,0
5403,M05403,M,297.1,309.9,2013,61.7,220,0,0,0,0,0,0
5404,L05404,M,296.8,311.5,1818,36.1,167,0,0,0,0,0,1
5405,M05405,L,304.8,309.1,1564,28.0,62,0,0,0,0,0,0
5406,H05406,L,303.9,309.6,2838,46.3,38,0,0,0,0,0,0
5407,M05407,L,302.3,308.3,2420,36.4,246,0,0,0,0,0,0
5408,L05408,L,301.0,311.1,2475,36.4,127,0,0,0,0,0,0
5409,M05409,L,301.6,309.9,1165,36.6,106,1,0,0,0,0,0
5410,M05410,L,301.6,309.5,1769,36.6,139,0,0,0,0,0,0
5411,H05411,L,303.3,310.0,1652,51.6,171,0,0,0,0,0,0
5412,M05412,L,299.0,309.9,2568,24.4,79,0,0,0,0,0,0
5413,H05413,L,298.5,309.3,1845,40.7,175,0,0,0,0,0,0
5414,H05414,L,300.0,308.6,2151,42.6,222,0,0,0,0,0,0
5415,L05415,L,301.2,310.2,1333,41.6,78,0,0,0,0,0,0
5416,H05416,M,299.5,310.0,1590,28.8,160,0,0,0,0,0,0
5417,H05417,L,298.9,309.6,1730,29.7,206,0,0,0,0,0,0
5418,L05418,L,302.9,309.7,2423,36.8,31,0,0,0,0,0,0
5419,H05419,M,298.3,311.1,1525,30.0,149,0,0,0,0,0,0
5420,L05420,H,302.9,310.3,2631,43.1,241,0,0,0,0,0,0
5421,M05421,L,301.9,308.7,2261,51.8,119,0,0,0,0,0,0
5422,L05422,L,303.8,311.3,1495,40.6,5,0,0,0,0,0,0
5423,H05423,L,304.4,310.7,1878,36.9,157,0,0,0,0,0,0
5424,L05424,L,300.7,310.6,1539,18.6,104,0,0,0,0,1,0
5425,H05425,H,304.2,309.2,1329,43.0,121,0,0,0,0,0,0
5426,M05426,M,301.0,310.9,1786,32.1,144,0,0,0,0,0,0
5427,L05427,M,300.8,310.2,1525,36.7,247,0,0,0,0,0,0
5428,M05428,L,300.4,308.8,1332,32.6,235,1,0,0,0,0,0
5429,H05429,M,299.1,310.3,1993,37.8,1,0,0,0,0,0,0
5430,H05430,L,301.5,311.0,1478,42.1,79,0,0,0,0,0,0
5431,M05431,L,302.3,310.6,1639,44.0,54,0,0,0,0,0,0
5432,L05432,L,297.2,308.2,1349,50.5,110,0,0,0,0,0,0
5433,L05433,L,305.1,310.4,1845,37.9,11,0,0,0,0,0,0
5434,H05434,L,303.2,309.6,1628,37.8,238,0,0,0,0,0,0
5435,M05435,M,298.8,308.1,1958,52.4,108,0,0,0,0,0,0
5436,M05436,L,301.1,310.6,2628,48.8,139,0,0,0,0,0,0
5437,L05437,L,299.9,310.7,2141,52.9,50,0,0,0,0,0,0
5438,L05438,L,300.7,310.0,2166,49.4,47,0,0,0,0,0,0
5439,L05439,L,299.7,309.0,2613,64.4,166,0,0,0,0,0,0
5440,M05440,M,301.0,311.4,2774,47.4,208,0,0,0,0,0,0
5441,L05441,M,297.9,310.5,1648,29.3,233,0,0,0,0,0,0
5442,L05442,M,304.4,310.6,1779,47.4,104,0,0,0,0,0,0
5443,H05443,L,298.0,310.9,2329,43.7,69,0,0,0,0,0,0
5444,L05444,M,301.1,311.2,2632,36.3,118,0,0,0,0,0,0
5445,L05445,M,298.6,310.3,2844,35.3,104,0,0,0,0,0,0
5446,M05446,L,299.7,308.9,1332,38.3,89,1,0,0,0,0,0
5447,M05447,L,300.9,309.3,1585,18.6,0,0,0,0,0,0,0
5448,H05448,M,300.2,309.5,2751,14.5,143,0,0,0,0,0,0
5449,L05449,L,300.3,311.2,1195,40.8,45,0,0,0,0,0,0
5450,H05450,L,299.3,310.2,2025,35.0,62,0,0,0,1,0,0
5451,M05451,L,298.6,309.3,1393,34.5,231,0,0,0,0,0,0
5452,H05452,L,301.3,309.8,1305,36.5,58,0,0,0,0,0,0
5453,M05453,L,298.3,311.3,2567,24.6,46,0,0,0,0,0,0
5454,H05454,L,298.7,310.6,2111,47.4,15,0,0,0,0,0,0
5455,H05455,M,298.7,311.0,1398,37.0,45,0,0,0,0,0,0
5456,L05456,L,299.3,308.9,2094,40.4,79,0,0,0,0,0,0
5457,H05457,M,297.2,309.8,2780,49.4,166,0,0,0,0,0,0
5458,L05458,L,297.2,309.4,2428,36.6,220,0,0,0,0,0,0
5459,L05459,H,301.1,311.5,2535,48.9,49,0,0,0,0,0,0
5460,L05460,H,301.1,309.9,1968,43.6,48,0,0,0,0,0,0
5461,L05461,M,300.6,309.4,1795,48.8,153,0,0,0,0,0,0
5462,H05462,H,302.8,308.0,1526,49.7,221,0,0,0,0,0,0
5463,M05463,M,298.2,311.4,1302,45.1,160,0,0,0,0,0,0
5464,M05464,M,296.5,311.5,1921,39.1,106,0,0,0,0,0,0
5465,M05465,L,301.6,307.9,1389,45.0,19,0,0,0,0,0,0
5466,H05466,L,296.5,310.2,2633,29.5,228,0,0,0,0,0,0
5467,L05467,M,299.7,310.9,2325,43.8,118,0,0,0,0,0,0
5468,M05468,L,300.6,310.5,2613,48.0,76,0,0,0,0,0,0
5469,H05469,M,304.1,309.6,1752,30.4,71,0,0,0,0,0,0
5470,L05470,M,298.9,309.1,1389,52.9,223,0,0,0,0,0,0
5471,M05471,L,299.1,311.2,2356,39.4,209,0,0,0,0,0,0
5472,L05472,M,301.3,310.8,1459,43.8,236,0,0,0,0,0,0
5473,M05473,L,301.2,310.6,1408,28.0,168,0,0,0,0,0,0
5474,M05474,L,299.3,311.2,2633,17.8,125,0,0,0,0,0,0
5475,M05475,L,300.4,312.2,1580,52.1,10,0,0,1,0,0,0
5476,L05476,L,298.5,309.7,1649,38.6,54,0,0,0,0,0,0
5477,H05477,L,300.9,309.7,1225,49.9,229,0,0,0,0,0,0
5478,L05478,L,296.8,309.6,1446,38.2,234,0,0,0,0,0,0
5479,M05479,L,305.8,309.1,2535,31.3,46,0,0,0,0,0,0
5480,L05480,M,301.4,311.2,1332,57.3,126,1,0,0,0,0,0
5481,H05481,M,297.8,311.3,2232,39.3,77,0,0,0,0,0,0
5482,L05482,L,299.5,311.1,2725,41.1,103,0,0,0,0,0,0
5483,H05483,L,297.9,311.7,2730,38.3,49,0,0,0,0,0,0
5484,H05484,M,298.4,310.1,2579,25.7,96,0,0,0,0,0,0
5485,L05485,M,300.4,310.4,1676,45.4,116,0,0,0,0,0,0
5486,M05486,L,302.8,310.7,2360,44.2,104,1,0,0,0,0,0
5487,H05487,L,299.8,309.6,2198,48.9,22,0,0,0,0,0,0
5488,L05488,M,296.2,308.9,1448,31.9,60,1,0,0,0,0,0
5489,H05489,M,298.8,310.1,2365,24.2,6,0,0,0,0,0,0
5490,M05490,L,298.9,309.5,1840,45.7,14,0,0,0,0,0,0
5491,L05491,L,300.2,312.2,1722,53.1,78,0,0,0,0,0,0
5492,L05492,L,299.7,308.5,2304,23.9,8,0,0,0,0,0,0
5493,L05493,M,295.6,309.9,1825,26.0,212,0,0,0,0,0,0
5494,M05494,L,298.2,310.3,2140,34.5,164,0,0,0,0,0,0
5495,H05495,L,297.8,309.2,1653,25.1,230,0,0,0,0,0,0
5496,L05496,L,301.8,309.5,2380,36.1,58,0,0,0,0,0,0
5497,H05497,H,299.4,310.1,1387,43.8,155,0,0,0,0,0,0
5498,H05498,M,296.0,308.8,1341,47.3,107,0,0,0,0,0,0
5499,M05499,M,298.3,310.4,2201,45.4,133,0,0,0,0,0,0
5500,L05500,M,302.3,311.6,2280,38.5,137,0,0,0,0,0,0
5501,H05501,L,298.8,309.6,2396,52.8,14,0,0,0,0,0,0
5502,L05502,H,298.6,310.8,2553,20.9,117,0,0,0,0,0,0
5503,L05503,L,299.7,311.7,1578,29.4,87,0,0,0,0,0,0
5504,M05504,M,300.5,311.0,1233,40.3,3,0,0,0,0,0,0
5505,L05505,L,299.7,309.3,1647,32.3,238,0,0,0,0,0,0
5506,L05506,L,302.0,308.5,1386,38.6,113,0,0,0,0,0,0
5507,H05507,L,299.7,309.7,1298,44.8,226,0,0,0,0,0,0
5508,M05508,M,301.3,310.1,2000,34.5,57,0,0,0,0,0,0
5509,L05509,M,300.4,307.9,1761,34.5,142,0,0,0,0,0,0
5510,H05510,L,297.4,310.0,1993,37.4,243,0,0,0,0,0,0
5511,M05511,L,303.6,309.2,2208,48.8,164,0,0,0,0,0,0
5512,M05512,H,302.3,309.9,2093,46.3,1,0,0,0,0,0,0
5513,H05513,L,298.9,309.7,1246,48.0,174,0,0,0,0,0,0
5514,H05514,M,299.8,309.8,2406,41.5,103,0,0,0,0,0,0
5515,H05515,M,301.2,310.8,1556,41.8,123,0,0,0,0,0,0
5516,H05516,L,300.4,309.0,2109,51.6,155,0,0,0,0,0,0
5517,H05517,L,300.2,308.2,1674,31.4,68,0,0,0,0,0,0
5518,L05518,L,301.0,310.8,2075,51.9,214,0,0,0,0,0,0
5519,L05519,L,300.7,310.6,1638,41.7,200,0,0,0,0,0,0
5520,M05520,L,300.7,310.5,1553,40.5,70,0,0,0,0,0,0
5521,L05521,L,300.2,309.1,1923,34.9,67,0,0,0,0,0,0
5522,L05522,L,301.3,310.6,2396,52.1,146,0,0,0,0,0,0
5523,L05523,M,300.4,308.7,1552,48.4,7,0,0,0,0,0,0
5524,H05524,M,300.5,309.7,1600,26.5,30,0,0,0,0,0,0
5525,M05525,L,302.7,311.5,2759,43.2,13,0,0,0,0,0,0
5526,M05526,L,300.9,310.6,1333,32.8,28,0,0,0,0,0,0
5527,M05527,L,300.7,309.9,1426,37.3,136,0,0,0,0,0,0
5528,M05528,L,298.2,309.9,2044,24.9,100,0,0,0,0,0,0
5529,L05529,M,298.3,308.9,2741,41.6,69,1,0,0,0,0,0
5530,L05530,L,302.3,311.6,2742,42.1,233,0,0,0,0,0,0
5531,H05531,M,301.1,311.0,2559,42.7,187,0,0,0,0,0,0
5532,M05532,L,301.8,310.8,2666,35.9,91,0,0,0,0,0,0
5533,L05533,M,300.4,309.9,2468,37.2,44,0,0,0,0,0,0
5534,L05534,L,300.8,309.6,1210,21.2,73,0,0,0,0,0,0
5535,H05535,M,299.7,309.2,2858,49.6,53,0,0,0,0,0,0
5536,H05536,H,299.9,311.4,2139,22.3,44,0,0,0,0,0,0
5537,H05537,M,299.2,308.2,2795,44.0,2,0,0,0,0,0,0
5538,L05538,M,302.7,310.6,1295,37.7,75,0,0,0,0,0,0
5539,L05539,L,298.6,308.4,2699,45.7,35,1,0,0,0,0,0
5540,H05540,H,300.6,309.8,1332,41.5,138,0,0,0,0,0,0
5541,M05541,L,299.7,310.0,1464,30.2,200,0,0,0,0,0,0
5542,H05542,L,301.9,308.7,1808,45.7,133,0,0,0,0,0,0
5543,H05543,L,300.5,309.1,1893,39.6,203,0,0,0,0,0,0
5544,H05544,H,300.9,310.7,2145,37.7,237,0,0,0,1,0,0
5545,H05545,M,300.4,311.5,1958,42.3,116,0,0,0,0,0,0
5546,L05546,H,298.0,310.3,1801,51.6,40,0,0,0,0,0,0
5547,M05547,M,301.1,309.3,2833,36.4,71,0,0,0,0,0,0
5548,H05548,L,299.8,309.0,2079,43.7,168,0,0,0,0,0,0
5549,M05549,H,298.5,309.3,2042,42.1,204,0,0,0,0,0,0
5550,M05550,H,297.2,310.0,1185,35.7,189,0,0,0,0,0,0
5551,M05551,L,298.4,310.3,1938,34.1,106,0,0,0,0,0,0
5552,H05552,L,301.5,311.2,2229,29.9,136,0,0,0,0,0,0
5553,L05553,M,303.5,309.9,2214,45.0,83,0,0,0,0,0,0
5554,H05554,H,300.2,309.3,1532,34.0,103,0,0,0,0,0,0
5555,M05555,M,298.0,308.9,1318,27.3,137,0,0,0,0,0,0
5556,M05556,M,300.8,309.8,1320,39.4,40,0,0,0,0,0,0
5557,L05557,H,302.2,308.4,2791,49.8,154,0,0,0,0,0,0
5558,H05558,M,303.8,309.4,1888,51.7,180,0,0,0,0,0,0
5559,M05559,M,302.5,308.7,2629,11.5,3,0,0,0,0,0,0
5560,L05560,M,300.4,309.7,1747,41.2,9,0,0,0,0,0,0
5561,M05561,L,301.2,310.5,2664,45.3,48,0,0,0,0,0,0
5562,L05562,M,298.6,310.4,2467,44.8,146,0,0,0,0,0,0
5563,L05563,L,301.6,310.7,2831,39.2,73,0,0,0,0,0,0
5564,H05564,M,301.9,309.1,2437,56.1,177,0,0,0,0,0,0
5565,M05565,L,295.0,311.4,1396,52.6,47,0,0,0,0,0,0
5566,H05566,L,300.3,310.7,1297,39.1,123,0,0,0,0,0,0
5567,M05567,L,303.0,310.6,1590,35.8,150,0,0,0,0,0,0
5568,H05568,M,298.7,311.1,1511,43.4,99,0,0,0,0,0,0
5569,M05569,L,295.7,310.2,1371,44.8,232,0,0,0,0,0,0
5570,H05570,L,299.9,309.9,1807,40.5,136,0,0,0,0,0,0
5571,L05571,L,302.2,311.3,1257,41.4,193,0,0,0,0,0,0
5572,M05572,L,300.8,309.2,2388,55.3,18,0,0,0,0,0,0
5573,M05573,L,300.1,309.8,2303,55.6,199,0,0,0,0,0,0
5574,L05574,L,298.1,311.2,1725,47.8,217,0,0,0,0,0,0
5575,H05575,L,297.8,309.8,1449,49.2,125,0,0,0,0,0,0
5576,M05576,L,300.4,309.4,2608,48.5,178,0,0,0,0,0,0
5577,M05577,L,299.9,309.1,2535,38.0,227,0,0,0,0,0,0
5578,H05578,L,301.7,310.2,1373,44.5,10,0,0,0,0,0,0
5579,L05579,M,300.9,309.6,1726,42.6,2,0,0,0,0,0,0
5580,H05580,L,298.5,310.5,2660,52.3,188,0,0,0,0,0,0
5581,H05581,L,300.5,311.6,2750,42.9,221,1,0,0,0,0,0
5582,H05582,L,300.2,311.1,2547,48.6,209,0,0,0,0,0,0
5583,M05583,L,296.7,307.7,2041,38.8,144,0,0,0,0,0,0
5584,L05584,L,299.2,310.7,1843,46.9,114,0,0,0,0,0,0
5585,L05585,L,300.1,310.8,2158,42.7,72,0,0,0,0,0,0
5586,H05586,M,299.8,309.7,2281,32.5,29,0,0,0,0,0,0
5587,M05587,M,300.6,311.2,2524,47.2,79,0,0,0,0,0,0
5588,H05588,L,300.2,310.3,1572,50.4,7,0,0,0,0,0,0
5589,M05589,M,300.7,308.1,2565,23.5,168,0,0,0,0,0,0
5590,M05590,L,300.3,310.1,2796,22.6,153,0,0,0,0,0,0
5591,M05591,H,300.0,309.7,1225,42.4,4,0,0,0,0,0,0
5592,M05592,L,300.3,309.4,1399,43.9,68,0,0,0,0,0,0
5593,L05593,M,299.3,310.4,1390,30.9,237,0,0,0,0,0,0
5594,M05594,L,299.2,310.7,2399,42.9,151,0,0,0,0,0,0
5595,M05595,M,300.2,310.7,1966,39.1,77,0,0,0,0,0,0
5596,H05596,L,296.0,310.7,2646,19.6,124,0,0,0,0,0,0
5597,H05597,L,299.3,308.8,2849,41.8,68,0,0,0,0,0,0
5598,L05598,M,298.6,308.9,2436,30.3,163,0,0,0,0,0,0
5599,H05599,L,298.3,310.3,1164,45.7,216,0,0,0,0,0,0
5600,M05600,M,299.4,311.1,1490,35.0,144,0,0,0,0,0,0
5601,H05601,M,297.3,310.4,1814,43.5,197,0,0,1,0,0,0
5602,L05602,L,299.4,307.9,1645,51.7,70,0,0,0,0,0,0
5603,H05603,L,300.5,310.5,2614,35.8,173,0,0,0,0,0,0
5604,H05604,L,302.1,308.4,1699,38.7,78,0,0,0,0,0,0
5605,L05605,M,304.4,310.7,1186,52.5,69,0,0,0,0,0,0
5606,L05606,L,296.3,309.4,2807,45.7,31,0,0,0,0,0,0
5607,M05607,L,298.1,310.3,1918,39.2,59,0,0,0,0,0,0
5608,H05608,H,299.4,312.1,2348,54.7,127,0,0,0,0,0,0
5609,M05609,L,300.3,309.6,1585,37.9,126,0,0,0,0,0,0
5610,H05610,H,300.7,309.2,1442,37.7,169,0,0,0,0,0,0
5611,H05611,M,298.8,309.6,1450,31.0,39,0,0,0,0,0,0
5612,M05612,L,294.9,308.5,2827,45.6,26,0,0,0,0,0,0
5613,H05613,L,302.1,309.0,2102,29.6,103,0,0,0,0,0,0
5614,H05614,M,301.0,311.1,2847,53.5,4,0,0,0,0,0,0
5615,H05615,L,301.4,308.0,2512,34.3,188,0,0,0,0,0,0
5616,L05616,L,299.6,309.4,2128,44.6,126,0,0,0,0,0,0
5617,M05617,L,300.7,310.2,2196,40.4,188,0,0,0,0,0,0
5618,L05618,M,296.0,309.6,1499,45.2,207,0,0,0,0,0,0
5619,M05619,M,297.9,311.3,1998,44.0,51,0,0,0,0,0,0
5620,M05620,L,302.4,309.8,2239,40.9,74,0,0,0,0,0,0
